,Libellé de la commune,latitude,longitude
522,Brécy,47.1236982,2.6196269
523,Brenelle,49.3666667,3.5438889
524,Breny,49.1855797,3.3531479
525,Brie,47.9536026,-1.5378988
526,Brissay-Choigny,49.7213889,3.3788889
527,Brissy-Hamégicourt,49.7444444,3.3811111
528,Brumetz,49.1019,3.16044
529,Brunehamel,49.7700051,4.1801262
530,Bruyères-sur-Fère,49.1898767,3.4433368
531,Bruyères-et-Montbérault,49.524144,3.6644424
532,Bruys,49.2713889,3.5638889
533,Bucilly,49.8777778,4.0936111
534,Bucy-le-Long,49.3913889,3.3947222
535,Bucy-lès-Cerny,49.5818,3.51511
536,Bucy-lès-Pierrepont,49.6462,3.90077
537,Buire,49.9027778,4.0563889
538,Buironfosse,49.9661363,3.8352698
539,Burelles,49.782448,3.8979652
540,Bussiares,49.0910735,3.25702
541,Buzancy,49.3133767,3.345959
542,Caillouël-Crépigny,49.6213101,3.1297928
543,Camelin,49.5249394,3.1327038
544,La Capelle,43.9530683,2.8921483
545,Castres,43.9116446,2.1422139
546,Le Catelet,50.0030556,3.245
547,Caulaincourt,49.8650001,3.1069444
548,Caumont,43.6922222,-0.1030556
549,Celles-lès-Condé,49.0122,3.57293
550,Celles-sur-Aisne,49.4069444,3.4825
551,Cerizy,49.7608333,3.3277778
552,Cerny-en-Laonnois,49.4438685,3.6686223
553,Cerny-lès-Bucy,49.5782726,3.5476156
554,Cerseuil,49.3239,3.5194
555,Cessières,49.5592003,3.4971678
556,Chacrise,49.3063,3.40556
557,Chaillevois,49.5133333,3.5258333
558,Chalandry,49.6772611,3.6416336
559,Chambry,49.5919,3.65549
560,Chamouille,49.4738537,3.666701
561,Champs,49.5404,3.25625
562,Chaourse,49.705,3.9983333
563,La Chapelle-sur-Chézy,48.9465732,3.3777287
564,Charly-sur-Marne,48.9754438,3.2843296
565,Le Charmel,49.1122,3.55042
566,Charmes,48.3725412,6.2933856
567,Chartèves,49.0749,3.50436
568,Chassemy,49.38,3.5077778
569,Château-Thierry,49.0457362,3.4027111
570,Châtillon-lès-Sons,49.7594444,3.685
571,Châtillon-sur-Oise,49.7910697,3.4195244
572,Chaudardes,49.3924306,3.7908213
573,Chaudun,49.3181784,3.2650577
574,Chauny,49.6148945,3.2189506
575,Chavignon,49.4796002,3.5212454
576,Chavigny,48.629406,6.1248471
577,Chavonne,49.4051,3.56957
578,Chérêt,49.5149,3.6816
579,Chermizy-Ailles,49.4684368,3.7259751
580,Chéry-Chartreuve,49.2616,3.61596
581,Chéry-lès-Pouilly,49.6583333,3.6061111
582,Chéry-lès-Rozoy,49.7211111,4.0919444
583,Chevennes,49.8158333,3.7333333
584,Chevregny,49.4717857,3.5912804
585,Chevresis-Monceau,49.7544444,3.5725
586,Chézy-en-Orxois,49.1235,3.18322
587,Chézy-sur-Marne,48.9896,3.36561
588,Chierry,49.0397222,3.4302778
589,Chigny,46.5201861,6.4773257
590,Chivres-en-Laonnois,49.6333787,3.841813
591,Chivres-Val,49.3961111,3.4361111
592,Chivy-lès-Etouvelles,NaN,NaN
593,Chouy,49.2066667,3.2488889
594,Cierges,49.1666,3.5975
595,Cilly,49.7383333,3.8327778
596,Ciry-Salsogne,49.3613,3.46174
597,Clacy-et-Thierret,49.545,3.5711111
598,Clairfontaine,49.9824076,3.9897485
599,Clamecy,47.4598895,3.5187552
600,Clastres,49.7468,3.23125
601,Clermont-les-Fermes,49.6669,3.93857
602,Coeuvres-et-Valsery,NaN,NaN
603,Coincy,49.1616667,3.4225
604,Coingt,49.7936111,4.0922222
605,Colligis-Crandelain,49.4747112,3.6401069
606,Colonfay,49.8588889,3.7133333
607,Commenchon,49.6406639,3.1615635
608,Concevreux,49.3772222,3.79
609,Condé-en-Brie,49.0047,3.55995
610,Condé-sur-Aisne,49.3973,3.46759
611,Condé-sur-Suippe,49.419674,3.9515822
612,Condren,49.6301206,3.2809076
613,Connigis,49.0318927,3.531367
614,Contescourt,49.7933333,3.2316667
615,Corbeny,49.462554,3.8234722
616,Corcy,49.2523955,3.2107619
617,Coucy-le-Château-Auffrique,49.5193946,3.3205038
618,Coucy-lès-Eppes,49.5528,3.76906
619,Coucy-la-Ville,49.5338889,3.3302778
620,Coulonges-Cohan,49.1998372,3.6328429
621,Coupru,49.0313238,3.2711673
622,Courbes,49.6852778,3.4519444
623,Courboin,48.9943,3.50471
624,Courcelles-sur-Vesles,NaN,NaN
625,Courchamps,49.1127324,3.2642175
626,Courmelles,49.3455556,3.3133333
627,Courmont,49.1482246,3.5760341
628,Courtemont-Varennes,49.0735714,3.5417135
